function,equation,point,newton_x,newton_y,newton_distance,golden_x,golden_y,golden_distance,difference
exponential,y=e^{x/4}+1,"(0, 0)",-0.4266764668352275,1.8988230293146127,1.9461710366785636,-0.4266764637887699,1.8988230299991693,1.9461710366785638,2.220446049250313e-16
exponential,y=e^{x/4}+1,"(-4, 0)",-4.121074159539384,1.3569111028324559,1.3623019830779663,-4.121074179879953,1.3569111010175121,1.3623019830779663,0.0
exponential,y=e^{x/4}+1,"(-8, 0)",-8.038006583214782,1.134055465128354,1.1346921601717135,-8.038006564061735,1.1340554657702466,1.1346921601717137,2.220446049250313e-16
exponential,y=e^{x/4}+1,"(2, 0)",1.2053376328798007,2.3516612726092205,2.482297125407653,1.205337658830676,2.3516612813784183,2.4822971254076527,4.440892098500626e-16
exponential,y=e^{x/4}+1,"(6, 0)",3.74056970961415,3.547576276575108,4.205986528179993,3.7405697356722483,3.5475762931713564,4.205986528179993,0.0
logarithmic,y=\ln(x+11)+1,"(0, 0)",-0.315293013631364,3.368813465500257,3.383535702453958,-0.31529300709767677,3.3688134661117557,3.383535702453958,0.0
logarithmic,y=\ln(x+11)+1,"(-4, 0)",-4.439137709889711,2.881122040980796,2.91439636001566,-4.439137694304477,2.8811220433562816,2.91439636001566,0.0
logarithmic,y=\ln(x+11)+1,"(-8, 0)",-8.81546015965692,1.7814052069830706,1.9591783439631234,-8.815460173305048,1.7814052007354721,1.9591783439631236,2.220446049250313e-16
logarithmic,y=\ln(x+11)+1,"(2, 0)",1.7214715910034581,3.543291242336899,3.5542215607133314,1.7214715996685654,3.5432912430180394,3.554221560713332,4.440892098500626e-16
logarithmic,y=\ln(x+11)+1,"(6, 0)",5.772259286996229,3.819726288704654,3.8265094737868997,5.772259291226342,3.819726288956863,3.8265094737869,4.440892098500626e-16
rational,y=1/(x+11)+1,"(0, 0)",0.00900042867067607,1.090834768013607,1.0908718984480055,0.009000441204204502,1.0908347679101933,1.0908718984480055,0.0
rational,y=1/(x+11)+1,"(-4, 0)",-3.976839512237275,1.1423860385566322,1.142620789799714,-3.976839503714216,1.1423860383838376,1.142620789799714,0.0
rational,y=1/(x+11)+1,"(-8, 0)",-7.865727001577315,1.3190532542963704,1.3258697997070692,-7.865726989628287,1.3190532530800194,1.3258697997070692,0.0
rational,y=1/(x+11)+1,"(2, 0)",2.0063658670927498,1.0768854275067017,1.076904242836908,2.0063658601886223,1.0768854275475146,1.0769042428369082,2.220446049250313e-16
rational,y=1/(x+11)+1,"(6, 0)",6.003662127443855,1.0588108604196507,1.0588171935324888,6.003662117973024,1.0588108604524076,1.0588171935324888,0.0
radical,y=\sqrt{x+10}+1,"(0, 0)",-0.6636368597559705,4.055546291621848,4.109485321194674,-0.6636368621580591,4.055546291228778,4.109485321194674,0.0
radical,y=\sqrt{x+10}+1,"(-4, 0)",-4.717546531925562,3.2983588640755035,3.3755065133552695,-4.717546491186806,3.298358872938078,3.3755065133552695,0.0
radical,y=\sqrt{x+10}+1,"(-8, 0)",-9.0,2.0,2.23606797749979,-9.000000010838733,1.9999999945806337,2.23606797749979,0.0
radical,y=\sqrt{x+10}+1,"(2, 0)",1.3515973984209926,4.369213172006335,4.417063467527729,1.3515974025179738,4.369213172614338,4.417063467527729,0.0
radical,y=\sqrt{x+10}+1,"(6, 0)",5.372474181932195,4.920774691554233,4.960626192063088,5.372474123415843,4.920774684091888,4.960626192063088,0.0
